id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
S;Sul;13/02/2000 00:00:00;5.621,87083333
SE;Sudeste/Centro-Oeste;13/02/2000 00:00:00;21.933,03750000
N;Norte;14/02/2000 00:00:00;2.391,82916667
NE;Nordeste;14/02/2000 00:00:00;5.634,05416667
S;Sul;14/02/2000 00:00:00;7.096,34166667
SE;Sudeste/Centro-Oeste;14/02/2000 00:00:00;26.413,97916667
N;Norte;15/02/2000 00:00:00;2.388,36250000
NE;Nordeste;15/02/2000 00:00:00;5.781,93333333
S;Sul;15/02/2000 00:00:00;7.205,73333333
SE;Sudeste/Centro-Oeste;15/02/2000 00:00:00;27.523,96666667
N;Norte;16/02/2000 00:00:00;2.423,45000000
NE;Nordeste;16/02/2000 00:00:00;5.801,84583333
S;Sul;16/02/2000 00:00:00;7.057,27500000
SE;Sudeste/Centro-Oeste;16/02/2000 00:00:00;27.404,22500000
N;Norte;17/02/2000 00:00:00;2.444,90000000
NE;Nordeste;17/02/2000 00:00:00;5.841,05833333
S;Sul;17/02/2000 00:00:00;6.999,03750000
SE;Sudeste/Centro-Oeste;17/02/2000 00:00:00;26.313,35833333
N;Norte;18/02/2000 00:00:00;2.414,95833333
NE;Nordeste;18/02/2000 00:00:00;5.837,41666667
S;Sul;18/02/2000 00:00:00;6.977,51666667
SE;Sudeste/Centro-Oeste;18/02/2000 00:00:00;25.385,21666667
N;Norte;19/02/2000 00:00:00;2.378,37500000
NE;Nordeste;19/02/2000 00:00:00;5.438,39166667
S;Sul;19/02/2000 00:00:00;6.249,70000000
SE;Sudeste/Centro-Oeste;19/02/2000 00:00:00;23.121,12916667
N;Norte;20/02/2000 00:00:00;2.274,71250000
NE;Nordeste;20/02/2000 00:00:00;5.014,76250000
S;Sul;20/02/2000 00:00:00;5.356,96666667
SE;Sudeste/Centro-Oeste;20/02/2000 00:00:00;20.677,77500000
N;Norte;21/02/2000 00:00:00;2.475,03750000
NE;Nordeste;21/02/2000 00:00:00;5.675,65833333
S;Sul;21/02/2000 00:00:00;6.987,70833333
SE;Sudeste/Centro-Oeste;21/02/2000 00:00:00;25.306,75416667
N;Norte;22/02/2000 00:00:00;2.422,55833333
NE;Nordeste;22/02/2000 00:00:00;5.774,00833333
S;Sul;22/02/2000 00:00:00;7.280,16250000
SE;Sudeste/Centro-Oeste;22/02/2000 00:00:00;26.409,38333333
N;Norte;23/02/2000 00:00:00;2.439,78750000
NE;Nordeste;23/02/2000 00:00:00;5.760,19166667
S;Sul;23/02/2000 00:00:00;7.296,46250000
SE;Sudeste/Centro-Oeste;23/02/2000 00:00:00;27.100,26666667
N;Norte;24/02/2000 00:00:00;2.445,15833333
NE;Nordeste;24/02/2000 00:00:00;5.768,92500000
S;Sul;24/02/2000 00:00:00;7.454,97500000
SE;Sudeste/Centro-Oeste;24/02/2000 00:00:00;27.439,92916667
