Data,Region,Average_Consumption,month,year,Average_Consumption_lag_1,Average_Consumption_lag_12,Average_Consumption_rolling_mean_3
2018-05-01,Nordeste,10193.69,5,2018,10367.04,10271.39,10378.073333333334
2018-05-01,Norte,5184.07,5,2018,5318.74,5590.2,5354.856666666667
2018-05-01,Sul,10430.37,5,2018,11543.85,10260.22,11288.46
2018-06-01,Sudeste/CO,33858.14,6,2018,34197.82,33858.78,34910.636666666665
2018-06-01,Sul,10608.3,6,2018,10430.37,10338.19,10860.840000000002
2018-06-01,Nordeste,9852.02,6,2018,10193.69,9900.8,10137.583333333334
2018-06-01,Norte,5221.35,6,2018,5184.07,5474.74,5241.386666666666
2018-07-01,Sudeste/CO,33919.26,7,2018,33858.14,32552.04,33991.74
2018-07-01,Nordeste,9830.9,7,2018,9852.02,9408.81,9958.87
2018-07-01,Sul,10742.02,7,2018,10608.3,10483.78,10593.563333333334
2018-07-01,Norte,5115.06,7,2018,5221.35,5307.82,5173.493333333333
2018-08-01,Sul,10694.29,8,2018,10742.02,10610.79,10681.536666666667
2018-08-01,Norte,5278.88,8,2018,5115.06,5572.57,5205.096666666667
2018-08-01,Sudeste/CO,34465.46,8,2018,33919.26,33822.72,34080.95333333333
2018-08-01,Nordeste,9976.72,8,2018,9830.9,9772.25,9886.546666666667
2018-09-01,Sudeste/CO,35488.2,9,2018,34465.46,35533.97,34624.306666666664
2018-09-01,Sul,10456.4,9,2018,10694.29,10793.34,10630.903333333334
2018-09-01,Nordeste,10233.54,9,2018,9976.72,9701.75,10013.720000000001
2018-09-01,Norte,5402.49,9,2018,5278.88,5625.76,5265.4766666666665
2018-10-01,Sul,10755.89,10,2018,10456.4,10469.67,10635.526666666667
2018-10-01,Sudeste/CO,36868.93,10,2018,35488.2,36599.19,35607.53
2018-10-01,Nordeste,10800.47,10,2018,10233.54,10229.79,10336.91
2018-10-01,Norte,5431.14,10,2018,5402.49,5600.03,5370.836666666666
2018-11-01,Sul,11306.87,11,2018,10755.89,10811.51,10839.720000000001
2018-11-01,Sudeste/CO,36719.2,11,2018,36868.93,35812.95,36358.776666666665
2018-11-01,Nordeste,10785.05,11,2018,10800.47,10371.39,10606.353333333334
2018-11-01,Norte,5293.62,11,2018,5431.14,5554.9,5375.75
2018-12-01,Sul,11532.72,12,2018,11306.87,11376.12,11198.493333333332
2018-12-01,Nordeste,10447.94,12,2018,10785.05,10462.24,10677.82
2018-12-01,Norte,5137.02,12,2018,5293.62,5383.59,5287.26
2018-12-01,Sudeste/CO,38158.38,12,2018,36719.2,36736.47,37248.83666666666
2019-01-01,Nordeste,10930.89,1,2019,10447.94,10540.96,10721.293333333333
2019-01-01,Sudeste/CO,42133.93,1,2019,38158.38,39014.78,39003.83666666666
2019-01-01,Norte,5298.13,1,2019,5137.02,5275.12,5242.923333333333
2019-01-01,Sul,12833.96,1,2019,11532.72,11694.57,11891.183333333334
2019-02-01,Norte,5503.67,2,2019,5298.13,5383.37,5312.94
2019-02-01,Sul,12392.63,2,2019,12833.96,12090.04,12253.103333333333
2019-02-01,Sudeste/CO,40667.0,2,2019,42133.93,38538.91,40319.77
2019-02-01,Nordeste,11239.43,2,2019,10930.89,10360.76,10872.753333333334
2019-03-01,Nordeste,10848.0,3,2019,11239.43,10573.49,11006.106666666667
2019-03-01,Sul,11542.73,3,2019,12392.63,11891.16,12256.44
2019-03-01,Norte,5416.77,3,2019,5503.67,5561.76,5406.19
2019-03-01,Sudeste/CO,38892.68,3,2019,40667.0,40027.98,40564.53666666667
2019-04-01,Sudeste/CO,37888.03,4,2019,38892.68,36675.95,39149.236666666664
2019-04-01,Sul,11319.71,4,2019,11542.73,11543.85,11751.69
2019-04-01,Nordeste,10927.68,4,2019,10848.0,10367.04,11005.036666666667
2019-04-01,Norte,5364.51,4,2019,5416.77,5318.74,5428.316666666667
2019-05-01,Norte,5514.03,5,2019,5364.51,5184.07,5431.77
2019-05-01,Sudeste/CO,35795.57,5,2019,37888.03,34197.82,37525.426666666666
2019-05-01,Nordeste,10826.0,5,2019,10927.68,10193.69,10867.226666666667
2019-05-01,Sul,10705.12,5,2019,11319.71,10430.37,11189.186666666666
2019-06-01,Sul,10502.5,6,2019,10705.12,10608.3,10842.443333333333
2019-06-01,Nordeste,9922.86,6,2019,10826.0,9852.02,10558.846666666666
2019-06-01,Norte,5448.67,6,2019,5514.03,5221.35,5442.403333333334
2019-06-01,Sudeste/CO,34226.92,6,2019,35795.57,33858.14,35970.17333333333
2019-07-01,Nordeste,9820.86,7,2019,9922.86,9830.9,10189.906666666668
2019-07-01,Norte,5374.95,7,2019,5448.67,5115.06,5445.883333333334
2019-07-01,Sul,10699.2,7,2019,10502.5,10742.02,10635.606666666668
2019-07-01,Sudeste/CO,33569.62,7,2019,34226.92,33919.26,34530.70333333333
2019-08-01,Sul,10807.31,8,2019,10699.2,10694.29,10669.67
2019-08-01,Nordeste,9774.33,8,2019,9820.86,9976.72,9839.35
2019-08-01,Norte,5541.23,8,2019,5374.95,5278.88,5454.95
2019-08-01,Sudeste/CO,34180.65,8,2019,33569.62,34465.46,33992.39666666667
2019-09-01,Sul,10731.14,9,2019,10807.31,10456.4,10745.883333333333
2019-09-01,Norte,5662.78,9,2019,5541.23,5402.49,5526.32
2019-09-01,Nordeste,10106.95,9,2019,9774.33,10233.54,9900.713333333335
2019-09-01,Sudeste/CO,36699.72,9,2019,34180.65,35488.2,34816.66333333333
2019-10-01,Sul,11370.05,10,2019,10731.14,10755.89,10969.5
2019-10-01,Sudeste/CO,37918.25,10,2019,36699.72,36868.93,36266.206666666665
2019-10-01,Norte,5596.46,10,2019,5662.78,5431.14,5600.156666666666
2019-10-01,Nordeste,10696.64,10,2019,10106.95,10800.47,10192.64
2019-11-01,Norte,5703.99,11,2019,5596.46,5293.62,5654.41
2019-11-01,Sudeste/CO,37089.43,11,2019,37918.25,36719.2,37235.8
2019-11-01,Sul,11552.51,11,2019,11370.05,11306.87,11217.9
