ID;REGIAO;MÊS/ANO;CONSUMO_MEDIO
285;NORDESTE;dez/05;6.884,55
286;NORTE;dez/05;3.215,39
287;SUDESTE/CO;dez/05;28.163,80
288;SUL;dez/05;7.724,79
289;NORDESTE;jan/06;6.932,53
290;NORTE;jan/06;3.242,00
291;SUDESTE/CO;jan/06;29.410,10
292;SUL;jan/06;8.115,45
293;NORDESTE;fev/06;7.020,88
294;NORTE;fev/06;3.285,11
295;SUDESTE/CO;fev/06;30.149,91
296;SUL;fev/06;8.280,37
297;NORDESTE;mar/06;6.984,03
298;NORTE;mar/06;3.305,50
299;SUDESTE/CO;mar/06;30.646,28
300;SUL;mar/06;8.410,28
301;NORDESTE;abr/06;6.718,56
302;NORTE;abr/06;3.262,09
303;SUDESTE/CO;abr/06;28.994,80
304;SUL;abr/06;7.658,64
305;NORDESTE;mai/06;6.643,10
306;NORTE;mai/06;3.351,24
307;SUDESTE/CO;mai/06;28.369,73
308;SUL;mai/06;7.663,54
309;NORDESTE;jun/06;6.526,42
310;NORTE;jun/06;3.396,61
311;SUDESTE/CO;jun/06;28.456,18
312;SUL;jun/06;7.682,02
313;NORDESTE;jul/06;6.544,46
314;NORTE;jul/06;3.324,30
315;SUDESTE/CO;jul/06;28.707,10
316;SUL;jul/06;7.612,42
317;NORDESTE;ago/06;6.829,50
318;NORTE;ago/06;3.437,60
319;SUDESTE/CO;ago/06;29.679,79
320;SUL;ago/06;7.741,26
321;NORDESTE;set/06;7.018,98
322;NORTE;set/06;3.412,26
323;SUDESTE/CO;set/06;29.081,10
324;SUL;set/06;7.499,73
325;NORDESTE;out/06;7.196,41
326;NORTE;out/06;3.420,35
327;SUDESTE/CO;out/06;29.255,40
328;SUL;out/06;7.762,99
329;NORDESTE;nov/06;7.228,43
330;NORTE;nov/06;3.389,91
331;SUDESTE/CO;nov/06;29.796,30
332;SUL;nov/06;7.820,44
333;NORDESTE;dez/06;7.279,09
334;NORTE;dez/06;3.401,54
335;SUDESTE/CO;dez/06;29.725,44
336;SUL;dez/06;7.980,38
337;NORDESTE;jan/07;7.439,26
338;NORTE;jan/07;3.420,18
339;SUDESTE/CO;jan/07;29.960,04
340;SUL;jan/07;8.349,93
341;NORDESTE;fev/07;7.080,92
342;NORTE;fev/07;3.313,05
343;SUDESTE/CO;fev/07;30.970,75
344;SUL;fev/07;8.529,34
345;NORDESTE;mar/07;7.157,69
346;NORTE;mar/07;3.390,02
347;SUDESTE/CO;mar/07;32.676,09
348;SUL;mar/07;8.767,48
349;NORDESTE;abr/07;7.124,76
350;NORTE;abr/07;3.481,12
351;SUDESTE/CO;abr/07;31.350,06
352;SUL;abr/07;8.177,32
353;NORDESTE;mai/07;7.052,04
354;NORTE;mai/07;3.537,50
355;SUDESTE/CO;mai/07;29.881,49
356;SUL;mai/07;7.919,79
357;NORDESTE;jun/07;6.953,37
358;NORTE;jun/07;3.457,95
359;SUDESTE/CO;jun/07;29.542,48
360;SUL;jun/07;7.838,01
361;NORDESTE;jul/07;7.028,23
362;NORTE;jul/07;3.434,06
363;SUDESTE/CO;jul/07;29.573,76
364;SUL;jul/07;7.910,57
365;NORDESTE;ago/07;7.056,68
366;NORTE;ago/07;3.526,16
367;SUDESTE/CO;ago/07;30.566,28
368;SUL;ago/07;8.035,02
369;NORDESTE;set/07;7.248,92
370;NORTE;set/07;3.552,61
371;SUDESTE/CO;set/07;31.166,00
372;SUL;set/07;7.889,68
373;NORDESTE;out/07;7.540,23
374;NORTE;out/07;3.562,31
375;SUDESTE/CO;out/07;31.967,15
376;SUL;out/07;8.143,16
377;NORDESTE;nov/07;7.695,37
378;NORTE;nov/07;3.533,29
379;SUDESTE/CO;nov/07;31.251,06
380;SUL;nov/07;8.097,94
381;NORDESTE;dez/07;7.494,32
382;NORTE;dez/07;3.495,22
383;SUDESTE/CO;dez/07;31.206,32
384;SUL;dez/07;8.353,20
385;NORDESTE;jan/08;7.463,34
386;NORTE;jan/08;3.467,76
387;SUDESTE/CO;jan/08;31.190,81
388;SUL;jan/08;8.754,52
389;NORDESTE;fev/08;7.497,82
390;NORTE;fev/08;3.533,27
391;SUDESTE/CO;fev/08;31.503,22
392;SUL;fev/08;9.004,06
393;NORDESTE;mar/08;7.385,15
394;NORTE;mar/08;3.556,94
395;SUDESTE/CO;mar/08;32.245,94
396;SUL;mar/08;8.769,57
397;NORDESTE;abr/08;7.473,69
398;NORTE;abr/08;3.605,88
399;SUDESTE/CO;abr/08;32.252,53
400;SUL;abr/08;8.537,26
401;NORDESTE;mai/08;7.466,57
402;NORTE;mai/08;3.641,96
403;SUDESTE/CO;mai/08;30.832,63
404;SUL;mai/08;8.008,61
405;NORDESTE;jun/08;7.227,85
406;NORTE;jun/08;3.633,81
407;SUDESTE/CO;jun/08;31.221,21
408;SUL;jun/08;8.278,50
409;NORDESTE;jul/08;7.160,86
410;NORTE;jul/08;3.624,53
411;SUDESTE/CO;jul/08;31.335,82
412;SUL;jul/08;8.373,81
413;NORDESTE;ago/08;7.373,48
414;NORTE;ago/08;3.693,59
415;SUDESTE/CO;ago/08;32.320,35
416;SUL;ago/08;8.239,53
417;NORDESTE;set/08;7.661,39
418;NORTE;set/08;3.741,49
419;SUDESTE/CO;set/08;32.087,31
420;SUL;set/08;8.239,58
421;NORDESTE;out/08;7.806,04
422;NORTE;out/08;3.744,64
423;SUDESTE/CO;out/08;32.914,44
424;SUL;out/08;8.333,55
425;NORDESTE;nov/08;7.835,03
426;NORTE;nov/08;3.692,19
427;SUDESTE/CO;nov/08;30.936,55
428;SUL;nov/08;8.352,76
429;NORDESTE;dez/08;7.353,98
430;NORTE;dez/08;3.619,03
431;SUDESTE/CO;dez/08;28.845,63
432;SUL;dez/08;8.248,51
433;NORDESTE;jan/09;7.294,53
434;NORTE;jan/09;3.569,13
435;SUDESTE/CO;jan/09;29.582,49
436;SUL;jan/09;8.344,89
437;NORDESTE;fev/09;7.366,75
438;NORTE;fev/09;3.483,25
439;SUDESTE/CO;fev/09;31.328,50
440;SUL;fev/09;8.933,44
441;NORDESTE;mar/09;7.612,02
442;NORTE;mar/09;3.570,15
443;SUDESTE/CO;mar/09;32.278,25
444;SUL;mar/09;9.095,49
445;NORDESTE;abr/09;7.349,42
446;NORTE;abr/09;3.552,64
447;SUDESTE/CO;abr/09;30.176,04
448;SUL;abr/09;8.537,68
449;NORDESTE;mai/09;7.123,15
450;NORTE;mai/09;3.539,47
451;SUDESTE/CO;mai/09;29.781,37
452;SUL;mai/09;8.199,39
453;NORDESTE;jun/09;7.095,80
454;NORTE;jun/09;3.623,46
455;SUDESTE/CO;jun/09;29.069,18
456;SUL;jun/09;8.260,60
457;NORDESTE;jul/09;7.212,79
458;NORTE;jul/09;3.568,45
459;SUDESTE/CO;jul/09;30.106,70
460;SUL;jul/09;8.199,57
461;NORDESTE;ago/09;7.328,16
462;NORTE;ago/09;3.587,16
463;SUDESTE/CO;ago/09;30.694,91
464;SUL;ago/09;7.984,50
465;NORDESTE;set/09;7.744,09
466;NORTE;set/09;3.635,33
467;SUDESTE/CO;set/09;31.984,11
468;SUL;set/09;8.046,30
469;NORDESTE;out/09;7.935,48
470;NORTE;out/09;3.610,09
471;SUDESTE/CO;out/09;31.928,35
472;SUL;out/09;8.176,25
473;NORDESTE;nov/09;7.959,13
474;NORTE;nov/09;3.651,68
475;SUDESTE/CO;nov/09;33.636,32
476;SUL;nov/09;8.724,04
477;NORDESTE;dez/09;7.999,65
478;NORTE;dez/09;3.660,21
479;SUDESTE/CO;dez/09;32.458,14
480;SUL;dez/09;8.581,27
481;NORDESTE;jan/10;7.971,63
482;NORTE;jan/10;3.713,62
483;SUDESTE/CO;jan/10;33.450,03
484;SUL;jan/10;8.879,47
485;NORDESTE;fev/10;8.289,27
486;NORTE;fev/10;3.806,77
487;SUDESTE/CO;fev/10;34.947,74
488;SUL;fev/10;9.597,29
489;NORDESTE;mar/10;8.579,18
490;NORTE;mar/10;3.907,50
491;SUDESTE/CO;mar/10;34.749,57
492;SUL;mar/10;9.445,45
493;NORDESTE;abr/10;8.174,59
494;NORTE;abr/10;3.839,55
495;SUDESTE/CO;abr/10;32.848,23
496;SUL;abr/10;8.620,74
497;NORDESTE;mai/10;8.312,16
498;NORTE;mai/10;3.887,54
499;SUDESTE/CO;mai/10;32.201,11
500;SUL;mai/10;8.235,42
501;NORDESTE;jun/10;8.008,55
502;NORTE;jun/10;3.792,42
503;SUDESTE/CO;jun/10;31.855,41
504;SUL;jun/10;8.465,89
505;NORDESTE;jul/10;7.846,89
506;NORTE;jul/10;3.777,03
507;SUDESTE/CO;jul/10;32.437,61
508;SUL;jul/10;8.587,49
509;NORDESTE;ago/10;7.746,28
510;NORTE;ago/10;3.861,28
511;SUDESTE/CO;ago/10;32.644,58
512;SUL;ago/10;8.578,80
513;NORDESTE;set/10;8.001,39
514;NORTE;set/10;3.938,02
515;SUDESTE/CO;set/10;33.859,61
516;SUL;set/10;8.584,63
517;NORDESTE;out/10;8.361,33
518;NORTE;out/10;3.897,17
519;SUDESTE/CO;out/10;32.999,52
520;SUL;out/10;8.521,13
521;NORDESTE;nov/10;8.321,02
522;NORTE;nov/10;3.902,78
523;SUDESTE/CO;nov/10;33.024,02
524;SUL;nov/10;9.048,86
525;NORDESTE;dez/10;8.088,36
526;NORTE;dez/10;3.851,79
527;SUDESTE/CO;dez/10;34.271,99
528;SUL;dez/10;9.124,18
529;NORDESTE;jan/11;7.974,06
